id,from,to
1,ElectricityConsumption,OrganizationType
2,ElectricityConsumption,OrganizationType
3,ElectricityConsumption,OrganizationType
4,ElectricityConsumption,OrganizationType
5,ElectricityConsumption,OrganizationType
6,ElectricityConsumption,OrganizationType
7,ElectricityConsumption,OrganizationType
8,ElectricityConsumption,OrganizationType
9,ElectricityConsumption,OrganizationType
10,ElectricityConsumption,OrganizationType
11,ElectricityConsumption,OrganizationType
12,ElectricityConsumption,OrganizationType
13,ElectricityConsumption,OrganizationType
14,ElectricityConsumption,OrganizationType
15,ElectricityConsumption,OrganizationType
16,ElectricityConsumption,OrganizationType
17,ElectricityConsumption,OrganizationType
18,ElectricityConsumption,OrganizationType
19,ElectricityConsumption,OrganizationType
20,ElectricityConsumption,OrganizationType
21,ElectricityConsumption,OrganizationType
22,ElectricityConsumption,OrganizationType
23,ElectricityConsumption,OrganizationType
24,ElectricityConsumption,OrganizationType
25,ElectricityConsumption,OrganizationType
26,ElectricityConsumption,OrganizationType
27,ElectricityConsumption,OrganizationType
28,ElectricityConsumption,OrganizationType
29,ElectricityConsumption,OrganizationType
30,ElectricityConsumption,OrganizationType
31,ElectricityConsumption,OrganizationType
32,ElectricityConsumption,OrganizationType
33,ElectricityConsumption,OrganizationType
34,ElectricityConsumption,OrganizationType
35,ElectricityConsumption,OrganizationType
36,ElectricityConsumption,OrganizationType
37,ElectricityConsumption,OrganizationType
38,ElectricityConsumption,OrganizationType
39,ElectricityConsumption,OrganizationType
40,ElectricityConsumption,OrganizationType
41,ElectricityConsumption,OrganizationType
42,ElectricityConsumption,OrganizationType
43,ElectricityConsumption,OrganizationType
44,ElectricityConsumption,OrganizationType
45,ElectricityConsumption,OrganizationType
46,ElectricityConsumption,OrganizationType
47,ElectricityConsumption,OrganizationType
48,ElectricityConsumption,OrganizationType
49,ElectricityConsumption,OrganizationType
50,ElectricityConsumption,OrganizationType
51,ElectricityConsumption,OrganizationType
52,ElectricityConsumption,OrganizationType
53,ElectricityConsumption,OrganizationType
54,ElectricityConsumption,OrganizationType
55,ElectricityConsumption,OrganizationType
56,ElectricityConsumption,OrganizationType
57,ElectricityConsumption,OrganizationType
58,ElectricityConsumption,OrganizationType
59,ElectricityConsumption,OrganizationType
60,ElectricityConsumption,OrganizationType
61,ElectricityConsumption,OrganizationType
62,ElectricityConsumption,OrganizationType
63,ElectricityConsumption,FacilityType
64,ElectricityConsumption,FacilityType
65,ElectricityConsumption,FacilityType
66,ElectricityConsumption,FacilityType
67,ElectricityConsumption,FacilityType
68,ElectricityConsumption,FacilityType
69,ElectricityConsumption,FacilityType
70,ElectricityConsumption,FacilityType
71,ElectricityConsumption,FacilityType
72,ElectricityConsumption,FacilityType
73,ElectricityConsumption,FacilityType
74,ElectricityConsumption,FacilityType
75,ElectricityConsumption,FacilityType
76,ElectricityConsumption,FacilityType
77,ElectricityConsumption,FacilityType
78,ElectricityConsumption,FacilityType
79,ElectricityConsumption,FacilityType
80,ElectricityConsumption,FacilityType
81,ElectricityConsumption,FacilityType
82,ElectricityConsumption,FacilityType
83,ElectricityConsumption,FacilityType
84,ElectricityConsumption,FacilityType
85,ElectricityConsumption,FacilityType
86,ElectricityConsumption,FacilityType
87,ElectricityConsumption,FacilityType
88,ElectricityConsumption,FacilityType
89,ElectricityConsumption,FacilityType
90,ElectricityConsumption,FacilityType
91,ElectricityConsumption,FacilityType
92,ElectricityConsumption,FacilityType
93,ElectricityConsumption,FacilityType
94,ElectricityConsumption,FacilityType
95,ElectricityConsumption,FacilityType
96,ElectricityConsumption,FacilityType
97,ElectricityConsumption,FacilityType
98,ElectricityConsumption,FacilityType
99,ElectricityConsumption,FacilityType
100,ElectricityConsumption,SmartMeterType
101,ElectricityConsumption,SmartMeterType
102,ElectricityConsumption,SmartMeterType
103,ElectricityConsumption,SmartMeterType
104,ElectricityConsumption,SmartMeterType
105,ElectricityConsumption,SmartMeterType
106,ElectricityConsumption,SmartMeterType
107,ElectricityConsumption,SmartMeterType
108,OrganizationType,organization1
109,OrganizationType,organization1
110,OrganizationType,organization1
111,OrganizationType,organization1
112,OrganizationType,organization1
113,OrganizationType,organization1
114,OrganizationType,organization1
115,OrganizationType,organization1
116,OrganizationType,organization1
117,OrganizationType,organization1
118,OrganizationType,organization1
119,OrganizationType,organization1
120,OrganizationType,organization1
121,OrganizationType,organization1
122,OrganizationType,organization1
123,OrganizationType,organization1
124,OrganizationType,organization1
125,OrganizationType,organization1
126,OrganizationType,organization1
127,OrganizationType,organization1
128,OrganizationType,organization1
129,OrganizationType,organization1
130,OrganizationType,organization1
131,OrganizationType,organization1
132,OrganizationType,organization1
133,OrganizationType,organization1
134,OrganizationType,organization1
135,OrganizationType,organization1
136,OrganizationType,organization1
137,OrganizationType,organization1
138,OrganizationType,organization1
139,OrganizationType,organization1
140,OrganizationType,organization1
141,OrganizationType,organization1
142,OrganizationType,organization1
143,OrganizationType,organization1
144,OrganizationType,organization1
145,OrganizationType,organization1
146,OrganizationType,organization1
147,OrganizationType,organization1
148,OrganizationType,organization1
149,OrganizationType,organization1
150,OrganizationType,organization1
151,OrganizationType,organization1
152,OrganizationType,organization1
153,OrganizationType,organization1
154,OrganizationType,organization1
155,OrganizationType,organization1
156,OrganizationType,organization1
157,OrganizationType,organization1
158,OrganizationType,organization1
159,OrganizationType,organization1
160,OrganizationType,organization1
161,OrganizationType,organization1
162,OrganizationType,organization1
163,OrganizationType,organization1
164,OrganizationType,organization1
165,OrganizationType,organization2
166,OrganizationType,organization2
167,OrganizationType,organization2
168,OrganizationType,organization2
169,OrganizationType,organization2
170,FacilityType,facility1
171,FacilityType,facility1
172,FacilityType,facility1
173,FacilityType,facility1
174,FacilityType,facility1
175,FacilityType,facility1
176,FacilityType,facility1
177,FacilityType,facility1
178,FacilityType,facility1
179,FacilityType,facility1
180,FacilityType,facility1
181,FacilityType,facility1
182,FacilityType,facility1
183,FacilityType,facility1
184,FacilityType,facility1
185,FacilityType,facility1
186,FacilityType,facility1
187,FacilityType,facility1
188,FacilityType,facility1
189,FacilityType,facility1
190,FacilityType,facility1
191,FacilityType,facility1
192,FacilityType,facility1
193,FacilityType,facility1
194,FacilityType,facility1
195,FacilityType,facility1
196,FacilityType,facility1
197,FacilityType,facility1
198,FacilityType,facility1
199,FacilityType,facility1
200,FacilityType,facility1
201,FacilityType,facility1
202,FacilityType,facility1
203,FacilityType,facility1
204,FacilityType,facility2
205,FacilityType,facility2
206,FacilityType,facility3
207,SmartMeterType,smartMeter1
208,SmartMeterType,smartMeter1
209,SmartMeterType,smartMeter1
210,SmartMeterType,smartMeter1
211,SmartMeterType,smartMeter2
212,SmartMeterType,smartMeter3
213,SmartMeterType,smartMeter3
214,SmartMeterType,smartMeter4
